idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
48,90.3625178638213,117.186162785262,163.200724356972,195.878060745001
49,90.3380579131922,117.195705287599,163.171269279853,195.892594564687
50,90.3134460068407,117.205089053952,163.141656437809,195.906975454445
51,90.2886822182326,117.214314027557,163.111885906524,195.921203355302
52,90.2637666211826,117.223380151643,163.081957762107,195.935278208206
53,90.2386992897432,117.232287369541,163.051872080945,195.949199954166
54,90.2134802983085,117.241035624583,163.02162893984,195.962968534117
55,90.1881097216272,117.249624860084,162.991228416022,195.976583888908
56,90.162587634694,117.258055019457,162.960670587012,195.990045959434
57,90.1369141128695,117.266326046088,162.929955530776,196.003354686491
58,90.1110892317806,117.274437883439,162.899083325598,196.016510010892
59,90.0851130674333,117.282390474932,162.868054050222,196.029511873335
60,90.0589856960614,117.290183764103,162.602263940718,196.276964057531
61,90.0327071942628,117.297817694463,162.569682655785,196.290896924903
62,90.0062776389332,117.305292209569,162.536939483758,196.304681207578
63,89.9796971072969,117.312607252987,162.504034493803,196.318316857192
64,89.9529656767974,117.319762768405,162.470967755376,196.331803825434
65,89.9260834254379,117.326758699294,162.437739338689,196.345142063575
66,89.8990504311983,117.333594989486,162.404349313918,196.358331523264
67,89.8718667726127,117.340271582601,162.370797751991,196.371372155738
68,89.8445325284922,117.346788422323,162.337084724208,196.384263912202
69,89.8170477778551,117.353145452467,162.303210302149,196.397006743922
70,89.7894126000848,117.359342616826,162.269174557893,196.409600602006
71,89.7616270749467,117.36537985915,162.234977564035,196.422045437384
72,89.73369128242,117.371257123317,162.200619393463,196.434341201037
73,89.705605302896,117.37697435313,162.166100119628,196.44648784372
74,89.6773692169756,117.382531492527,162.131419816267,196.458485316244
75,89.6489831055868,117.387928485457,162.096578557566,196.47033356931
76,89.6204470500722,117.393165275794,162.061576418281,196.482032553392
77,89.5917611319982,117.398241807531,162.026413473475,196.493582218994
78,89.5629254331905,117.403158024739,161.99108979857,196.504982516602
79,89.533940035931,117.407913871375,161.955605469619,196.516233396414
